id,sonde_event_id,Date,Time,Temp,SpCond,DO
,1,2003-08-13,11:15:00,18.42,139.3,9.06
,1,2003-08-13,11:20:00,18.41,139.3,9.01
,1,2003-08-13,11:25:00,18.43,139.4,8.98
,1,2003-08-13,11:30:00,18.49,139.4,9.02
,1,2003-08-13,11:35:00,18.55,139.5,8.91
,1,2003-08-13,11:40:00,18.57,139.5,8.82
,1,2003-08-13,11:45:00,18.56,139.4,8.83
,1,2003-08-13,11:50:00,18.58,139.4,8.82
,1,2003-08-13,11:55:00,18.6,139.3,8.89
,1,2003-08-13,12:00:00,18.61,139.3,8.87
,1,2003-08-13,12:05:00,18.64,139.4,8.87
,1,2003-08-13,12:10:00,18.67,139.3,8.85
,1,2003-08-13,12:15:00,18.7,139.3,8.8
,1,2003-08-13,12:20:00,21.35,0.0,8.81
,1,2003-08-13,12:25:00,18.79,136.4,8.53
,1,2003-08-13,12:30:00,18.81,136.3,8.55
,1,2003-08-13,12:35:00,18.83,136.1,8.4
,1,2003-08-13,12:40:00,18.83,136.3,8.32
,1,2003-08-13,12:45:00,18.83,136.1,8.43
,1,2003-08-13,12:50:00,18.84,136.3,8.45
,1,2003-08-13,12:55:00,18.85,136.3,8.38
,1,2003-08-13,13:00:00,18.87,136.0,8.44
,1,2003-08-13,13:05:00,18.88,136.0,8.46
,1,2003-08-13,13:10:00,18.9,135.9,8.45
,1,2003-08-13,13:15:00,18.91,135.9,8.58
,1,2003-08-13,13:20:00,18.93,135.8,8.59
,1,2003-08-13,13:25:00,18.94,135.8,8.52
,1,2003-08-13,13:30:00,18.95,135.8,8.45
,1,2003-08-13,13:35:00,18.95,135.6,8.46
,1,2003-08-13,13:40:00,18.95,135.8,8.44
,1,2003-08-13,13:45:00,18.95,135.9,8.4
,1,2003-08-13,13:50:00,18.96,135.8,8.38
,1,2003-08-13,13:55:00,18.97,135.6,8.26
,1,2003-08-13,14:00:00,19.0,135.8,8.4
,1,2003-08-13,14:05:00,19.01,135.6,8.4
,1,2003-08-13,14:10:00,19.03,135.5,8.44
,1,2003-08-13,14:15:00,19.04,135.7,8.36
,1,2003-08-13,14:20:00,19.05,135.7,8.34
,1,2003-08-13,14:25:00,19.05,135.5,8.34
,1,2003-08-13,14:30:00,19.05,135.4,8.38
,1,2003-08-13,14:35:00,19.05,135.4,8.27
,1,2003-08-13,14:40:00,19.06,135.3,8.32
,1,2003-08-13,14:45:00,19.08,135.1,8.33
,1,2003-08-13,14:50:00,19.1,135.3,8.31
,1,2003-08-13,14:55:00,19.13,135.1,8.4
,1,2003-08-13,15:00:00,19.17,135.2,8.46
,1,2003-08-13,15:05:00,19.2,135.2,8.4
,1,2003-08-13,15:10:00,19.24,135.2,8.36
,1,2003-08-13,15:15:00,19.25,135.1,8.43
,1,2003-08-13,15:20:00,19.27,135.1,8.39
,1,2003-08-13,15:25:00,19.27,135.2,8.31
